City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,mar del plata,-38.0023,-57.5575,18.38,94,100,4.12,AR,1701895049
148,georgetown,5.4112,100.3354,26.96,92,20,1.54,MY,1701894883
149,pruszcz gdanski,54.2622,18.6363,-1.89,94,100,5.14,PL,1701895142
150,arraial do cabo,-22.9661,-42.0278,27.98,74,0,8.75,BR,1701895142
151,ketchikan,55.3422,-131.6461,7.41,76,100,4.12,US,1701895142
152,pascagoula,30.3658,-88.5561,15.0,46,0,4.12,US,1701895143
153,tralee,52.2704,-9.7026,9.23,96,99,2.6,IE,1701895143
154,naantali,60.4674,22.0243,-4.76,93,100,2.57,FI,1701895143
155,church hill,36.5223,-82.7135,5.86,66,97,2.68,US,1701894964
156,playa del ingles,27.7567,-15.5787,20.86,85,100,1.79,ES,1701895143
157,papatowai,-46.5619,169.4708,11.07,70,76,8.03,NZ,1701895143
158,bluefields,12.0137,-83.7635,30.04,84,75,4.12,NI,1701895144
159,colipapa,9.4726,122.5616,25.54,86,90,3.18,PH,1701895144
160,tazacorte,28.629,-17.9293,20.54,92,40,2.06,ES,1701895144
161,hillsboro,45.5229,-122.9898,11.05,95,100,3.09,US,1701895014
162,linxia chengguanzhen,35.6003,103.2064,1.12,22,0,1.94,CN,1701895144
163,kapuskasing,49.4169,-82.4331,-6.0,73,100,5.66,CA,1701894854
164,badger,64.8,-147.5333,-14.07,84,100,0.0,US,1701895144
165,olinda,-8.0089,-34.8553,27.85,69,40,4.63,BR,1701895145
166,sao joao del rei,-21.1356,-44.2617,23.47,80,71,2.72,BR,1701895145
167,rotonda west,26.8837,-82.2901,22.21,58,0,6.17,US,1701895145
168,usinsk,65.9939,57.5281,-31.07,99,91,1.79,RU,1701895145
169,jinchang,38.4953,102.1739,2.59,18,0,1.33,CN,1701895145
170,santa marta,11.2408,-74.199,33.03,69,20,2.06,CO,1701894947
171,san luis de la loma,17.2706,-100.8939,29.02,66,100,1.51,MX,1701895145
172,nyurba,63.2842,118.3319,-47.78,100,81,1.47,RU,1701895146
173,cidreira,-30.1811,-50.2056,23.13,96,64,3.9,BR,1701895127
174,olonkinbyen,70.9221,-8.7187,-3.64,80,100,3.91,SJ,1701895146
175,namibe,-15.1961,12.1522,23.54,84,100,3.1,AO,1701895146
176,new yekepa,7.5794,-8.5378,22.2,53,7,0.78,LR,1701895147
177,udachny,66.4167,112.4,-26.12,100,100,1.25,RU,1701895147
178,haiku-pauwela,20.9219,-156.3051,27.32,71,40,10.29,US,1701895147
179,happy valley-goose bay,53.3168,-60.3315,-2.83,59,75,5.66,CA,1701895147
180,kayangel,8.0823,134.7173,28.41,75,78,4.14,PW,1701895147
181,andergrove,-21.0833,149.1833,23.69,72,57,5.89,AU,1701895147
182,opuwo,-18.0607,13.84,24.47,57,55,2.6,NA,1701895148
183,dwarka,22.2394,68.9678,22.95,51,0,6.55,IN,1701895148
184,east london,-33.0153,27.9116,20.11,83,90,9.01,ZA,1701895021
185,ta`u,-14.2336,-169.5144,26.78,84,37,5.71,AS,1701895148
186,kalmunai,7.4167,81.8167,25.61,91,8,3.34,LK,1701895148
187,famagusta,35.125,33.95,17.0,93,16,3.82,CY,1701895149
188,greenville,35.6127,-77.3663,9.09,60,40,5.14,US,1701894899
189,champerico,14.3,-91.9167,34.3,66,31,3.72,GT,1701895149
190,inza,53.8533,46.3586,-20.6,100,79,0.19,RU,1701895149
191,ribeira brava,32.65,-17.0667,20.4,87,100,0.7,PT,1701895149
192,yaren,-0.5472,166.916,28.09,79,100,5.88,NR,1701895150
193,ar ruways,24.1103,52.7306,22.59,69,6,2.27,AE,1701895150
194,kudahuvadhoo,2.6708,72.8944,27.95,77,100,3.05,MV,1701895150
195,jiuquan,39.7432,98.5174,1.17,28,45,2.76,CN,1701895150
196,coahuayana de hidalgo,18.7,-103.6583,32.31,42,100,1.72,MX,1701895151
197,marquette,46.5333,-87.6335,0.38,75,100,3.58,US,1701895151
198,childress,34.4264,-100.204,21.14,28,0,5.66,US,1701895068
199,esmeraldas,-19.7625,-44.3139,31.58,50,27,3.39,BR,1701895130
200,santa cruz,-17.8,-63.1667,33.03,46,40,8.23,BO,1701895136
201,palapag,12.5458,125.1147,24.89,80,100,2.62,PH,1701895151
202,grand falls-windsor,48.9332,-55.6649,-5.57,84,100,1.42,CA,1701895074
203,ilulissat,69.2167,-51.1,-1.99,50,75,4.12,GL,1701895151
204,antsiranana,-12.2787,49.2917,25.72,74,97,4.31,MG,1701895152
205,kavieng,-2.5744,150.7967,28.16,78,100,2.31,PG,1701895152
206,bechar,31.6167,-2.2167,14.18,44,20,2.06,DZ,1701895152
207,puerto leguizamo,-0.1934,-74.7819,23.69,98,100,1.24,CO,1701895152
208,nova sintra,14.8667,-24.7167,21.73,72,100,7.29,CV,1701895152
209,kenai,60.5544,-151.2583,-1.59,94,0,0.0,US,1701895152
210,marand,38.4329,45.7749,7.39,51,46,3.57,IR,1701895152
211,naze,28.3667,129.4833,17.51,62,55,7.15,JP,1701895153
212,majene,-3.5403,118.9707,24.95,90,100,2.66,ID,1701895153
213,tshabong,-26.05,22.45,31.05,20,70,2.71,BW,1701895153
214,rivera,-30.9053,-55.5508,22.37,92,90,3.11,UY,1701895153
215,lerwick,60.1545,-1.1494,5.0,70,15,7.03,GB,1701895153
216,colonia,50.9333,6.95,3.87,90,75,1.03,DE,1701894870
217,myanaung,18.2833,95.3167,22.78,73,87,4.24,MM,1701895154
218,jaguaruna,-28.615,-49.0256,23.68,96,98,2.82,BR,1701895154
219,chegdomyn,51.1167,133.0167,-11.9,91,100,2.01,RU,1701895154
220,huron,41.1501,-82.5499,3.31,82,100,4.26,US,1701895154
221,kilindoni,-7.9139,39.6668,27.63,81,74,3.83,TZ,1701895154
222,ostercappeln,52.35,8.2333,2.53,94,100,3.16,DE,1701895154
223,jamestown,42.097,-79.2353,0.85,77,100,5.66,US,1701895154
224,brookings,44.3114,-96.7984,14.0,51,0,4.63,US,1701894945
225,abong mbang,3.9833,13.1833,21.81,88,96,0.97,CM,1701895155
226,xai-xai,-25.0519,33.6442,22.75,89,32,3.79,MZ,1701895155
227,tacuarembo,-31.7333,-55.9833,21.26,94,100,1.72,UY,1701895155
228,tarsus,36.9188,34.8784,12.93,88,98,3.5,TR,1701895155
229,behbahan,30.5959,50.2417,18.35,41,99,0.33,IR,1701895155
230,medvezh'yegorsk,62.9167,34.4667,-20.75,100,96,0.2,RU,1701895156
231,new norfolk,-42.7826,147.0587,12.73,64,100,2.12,AU,1701895156
232,la sarre,48.8002,-79.1996,-12.48,94,81,1.06,CA,1701895156
233,callao,-12.0667,-77.15,21.16,73,75,4.12,PE,1701895071
234,al jawf,29.5,38.75,16.93,58,2,3.37,SA,1701895156
235,turbat,26.0023,63.044,19.67,23,0,2.13,PK,1701895157
236,ljusdal,61.8288,16.0913,-17.82,98,99,0.75,SE,1701895157
237,aasiaat,68.7098,-52.8699,-5.7,69,100,8.53,GL,1701895157
238,impfondo,1.6381,18.0667,22.52,93,100,1.15,CG,1701895157
